,0
585,ATOH1
586,ATOH7
587,ATOH8
588,ATOX1
589,ATP11A
590,ATP11B
591,ATP11C
592,ATP13A1
593,ATP13A2
594,ATP13A3
595,ATP1A1
596,ATP1A3
597,ATP1B3
598,ATP23
599,ATP2A2
600,ATP2A3
601,ATP2B1
602,ATP2B4
603,ATP2C1
604,ATP5A1
605,ATP5B
606,ATP5C1
607,ATP5E
608,ATP5F1A
609,ATP5F1B
610,ATP5F1C
611,ATP5F1D
612,ATP5F1E
613,ATP5H
614,ATP5IF1
615,ATP5MC1
616,ATP5MC2
617,ATP5MC3
618,ATP5MD
619,ATP5ME
620,ATP5MF
621,ATP5MG
622,ATP5MPL
623,ATP5PB
624,ATP5PD
625,ATP5PF
626,ATP5PO
627,ATP6AP1
628,ATP6AP2
629,ATP6V0A1
630,ATP6V0A2
631,ATP6V0B
632,ATP6V0C
633,ATP6V0D1
634,ATP6V0E1
635,ATP6V0E2
636,ATP6V1A
637,ATP6V1B2
638,ATP6V1C1
639,ATP6V1D
640,ATP6V1E1
641,ATP6V1E2
642,ATP6V1F
643,ATP6V1G1
644,ATP6V1H
645,ATP7A
646,ATP7B
647,ATP8B2
648,ATP9B
649,ATPAF1
650,ATPAF2
651,ATPSCKMT
652,ATR
653,ATRAID
654,ATRIP
655,ATRX
656,ATXN1
657,ATXN10
658,ATXN1L
659,ATXN2
660,ATXN2L
661,ATXN3
662,ATXN7
663,ATXN7L1
664,ATXN7L3
665,ATXN7L3B
666,AUH
667,AUNIP
668,AUP1
669,AURKA
670,AURKAIP1
671,AURKB
672,AVEN
673,AVL9
674,AVPI1
675,AXIN1
676,AXL
677,AZI2
678,AZIN1
679,B2M
680,B3GALNT2
681,B3GALT6
682,B3GAT3
683,B3GNT2
684,B3GNT5
685,B3GNTL1
686,B4GALNT1
687,B4GALNT4
688,B4GALT1
689,B4GALT2
690,B4GALT3
691,B4GALT4
692,B4GALT5
693,B4GALT7
694,B9D1
695,B9D2
696,BABAM1
697,BABAM2
698,BACH1
699,BACH2
700,BAD
701,BAG1
702,BAG2
703,BAG3
704,BAG4
705,BAG5
706,BAG6
707,BAHCC1
708,BAHD1
709,BAIAP2
710,BAIAP2L1
711,BAK1
712,BAMBI
713,BANF1
714,BANP
715,BAP1
716,BARD1
717,BARHL1
718,BARHL2
719,BARX1
720,BARX2
721,BATF
722,BATF2
723,BATF3
724,BAX
725,BAZ1A
726,BAZ1B
727,BAZ2A
728,BAZ2B
729,BBC3
730,BBIP1
731,BBS1
732,BBS2
733,BBS4
734,BBS7
735,BBX
736,BCAP29
737,BCAP31
738,BCAR1
739,BCAS2
740,BCAT1
741,BCAT2
742,BCCIP
743,BCKDHA
744,BCKDHB
745,BCKDK
746,BCL10
747,BCL11A
748,BCL11B
749,BCL2
750,BCL2L1
751,BCL2L11
752,BCL2L12
753,BCL2L13
754,BCL2L2
755,BCL6
756,BCL6B
757,BCL7A
758,BCL7B
759,BCL7C
760,BCLAF1
